,Ticker,Sector,Industry,Inst Own,ATR,RSI
todayPlus5,,,,,,
,JAX,Consumer Cyclical,Restaurants,72.20%,0.59,
,CSPR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",38.10%,0.81,
,HIBS,Financial,Exchange Traded Fund,-,1.50,
todayMinus5,,,,,,
,CATO,Consumer Cyclical,Apparel Retail,82.70%,0.65,
,VEL,Financial,Mortgage Finance,64.40%,0.65,
,LPG,Energy,Oil & Gas Midstream,74.80%,0.54,
,CLDT,Real Estate,REIT - Hotel & Motel,88.40%,0.75,
,CTRA,Energy,Thermal Coal,95.60%,0.63,
,HT,Real Estate,REIT - Hotel & Motel,84.10%,0.86,
,LBRT,Energy,Oil & Gas Equipment & Services,81.50%,0.54,
,WSR,Real Estate,REIT - Retail,62.90%,0.62,
,ICD,Energy,Oil & Gas Drilling,70.80%,0.66,
,EXTN,Energy,Oil & Gas Equipment & Services,91.10%,0.65,
,DFIN,Financial,Capital Markets,96.60%,0.65,
,TLYS,Consumer Cyclical,Apparel Retail,92.20%,0.52,
,IVC,Healthcare,Medical Devices,-,0.59,
,MRC,Energy,Oil & Gas Equipment & Services,-,0.54,
,TDW,Energy,Oil & Gas Equipment & Services,88.70%,0.62,
,MR,Energy,Oil & Gas E&P,73.00%,0.53,
,CAL,Consumer Cyclical,Footwear & Accessories,95.40%,1.00,
,RGS,Consumer Cyclical,Personal Services,-,1.21,
,PARR,Energy,Oil & Gas Refining & Marketing,93.50%,0.90,
,BHR,Real Estate,REIT - Hotel & Motel,61.90%,0.51,
weekMinus10,,,,,,
,WTTR,Energy,Oil & Gas Equipment & Services,77.00%,0.60,
,ECC,Financial,Closed-End Fund - Debt,29.09%,0.51,
,GTT,Communication Services,Telecom Services,74.60%,0.70,
,IEZ,Financial,Exchange Traded Fund,-,0.67,
,DSSI,Energy,Oil & Gas Midstream,71.50%,0.72,
,CEIX,Energy,Thermal Coal,-,0.87,
weekPlus10,,,,,,
monthPlus30,,,,,,
,RC,Real Estate,REIT - Mortgage,45.40%,0.85,
,CLNC,Real Estate,REIT - Diversified,65.60%,0.67,
,BXC,Industrials,Building Products & Equipment,85.90%,0.86,
,CURO,Financial,Credit Services,34.70%,0.76,
,SMHB,Financial,Exchange Traded Fund,-,0.73,
monthMinus30,,,,,,
days20_5AboveLow,,,,,,
,LGF-A,Communication Services,Entertainment,94.50%,0.50,
days20_5BelowHigh,,,,,,
weeks52_5BelowHigh,,,,,,
weeks52_AboveLow,,,,,,
todayEarnings,,,,,,
,TISI,Industrials,Specialty Business Services,-,0.64,
up5,,,,,,
down5,,,,,,
,SOI,Energy,Oil & Gas Equipment & Services,95.60%,0.61,
,ALTG,Industrials,Rental & Leasing Services,53.20%,0.58,
,REVG,Industrials,Farm & Heavy Construction Machinery,99.30%,0.67,
,FCF,Financial,Banks - Regional,70.60%,0.55,
