,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Thu Jul 02 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,7.00%,0.59,87.79,6.82,"|2|","|3|","|4|",,,,,,,,,,,,,,,,,,
,AYRO,Consumer Cyclical,Auto Manufacturers,0.10%,0.59,54.09,3.27,2.6,3.42,"|2|",4.25,4.2,4.1,4,3.8,3.68,3.52,3.3,3.25,3.2,3.18,3.1,3.08,3.05,3,2.95,2.9,2.85
,AVCT,Financial,Shell Companies,12.30%,0.61,56.61,3.55,"|2|","|3|","|4|",3.33,3.31,3.3,3.19,3.18,3.17,,,,,,,,,,,,
,AGTC,Healthcare,Biotechnology,70.70%,0.55,61.56,6.43,5.49,7.4,"|2|","|3|","|4|",5.53,5.51,,,,,,,,,,,,,,
,AWH,Healthcare,Diagnostics & Research,22.70%,0.63,51.61,4.05,"|2|","|3|","|4|",4.05,4.04,4,3.71,3.7,,,,,,,,,,,,,
,CFRX,Healthcare,Biotechnology,21.10%,0.61,57.38,6.99,"|2|",6.9,6.8,6.65,6.5,6.4,6,"|3|","|4|",6.37,6.33,6.32,,,,,,,,,
,TZOO,Consumer Cyclical,Travel Services,37.90%,0.67,45.59,5.82,6.33,"|2|","|3|","|4|",5.63,5.61,5.6,5.56,5.54,5.53,,,,,,,,,,,
,VRA,Consumer Cyclical,Footwear & Accessories,62.70%,0.55,43.01,4.44,4.16,"|2|",4.51,4.44,4.24,"|3|","|4|",4.47,4.46,4.45,4.44,4.43,4.42,4.41,4.4,4.39,4.38,4.37,4.36,4.27,4.25
,MGTA,Healthcare,Biotechnology,72.70%,0.80,40.88,7.97,8.78,"|2|","|3|","|4|",7.53,7.52,7.51,7.5,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HT,Real Estate,REIT - Hotel & Motel,84.10%,0.69,43.63,5.45,"|2|",5,"|3|","|4|",5.78,5.77,5.76,5.75,5.74,5.73,5.72,5.71,,,,,,,,,
,CRBP,Healthcare,Biotechnology,50.70%,0.54,56.57,7.95,7.26,8.66,"|2|",7.31,7.15,7.05,"|3|","|4|",8.46,8.44,8.43,8.42,8.41,8.4,8.38,8.37,8.36,8.35,8.34,,
,LQDA,Healthcare,Biotechnology,45.80%,1.10,42.21,7.79,"|2|","|3|","|4|",,,,,,,,,,,,,,,,,,
,DSSI,Energy,Oil & Gas Midstream,71.50%,0.62,34.61,7.90,8.85,"|2|","|3|","|4|",8,7.95,7.94,7.93,7.92,7.91,7.9,,,,,,,,,,
,HALL,Financial,Insurance - Property & Casualty,83.80%,0.56,44.75,3.04,"|2|",3.9,3.3,3.12,"|3|","|4|",3.23,3.21,3.19,3.05,3.04,3.02,,,,,,,,,
,CMLS,Communication Services,Broadcasting,-,0.78,41.48,4.08,"|2|",4.1,3.92,"|3|","|4|",4.48,4.46,4.45,4.1,4.09,4.08,4.07,4.06,4.05,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,67.20%,0.79,56.51,6.45,6.06,"|2|","|3|","|4|",,,,,,,,,,,,,,,,,
,CRDF,Healthcare,Biotechnology,5.90%,0.51,64.00,4.31,"|2|","|3|","|4|",5,4.97,4.96,4.95,,,,,,,,,,,,,,
,IHRT,Communication Services,Broadcasting,-,0.93,37.09,7.14,"|2|",7,6.9,"|3|","|4|",,,,,,,,,,,,,,,,
,QLGN,Healthcare,Biotechnology,0.30%,0.80,32.98,4.10,4.11,4.5,4.25,4.86,"|2|",5.05,5.03,5,4.99,4.9,4.88,4.75,4.62,4.5,4.25,4,"|3|",4.88,"|4|",4.08,4.06
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CYCN,Healthcare,Biotechnology,72.30%,0.68,56.31,5.87,"|2|","|3|","|4|",5.91,5.88,5.87,5.86,5.85,5.84,5.83,5.82,5.8,5.77,,,,,,,,
,NNVC,Healthcare,Biotechnology,21.20%,0.75,51.52,7.25,6.75,"|2|",6.8,"|3|","|4|",7.31,7.19,7.17,7.15,7.11,7.1,,,,,,,,,,
,SOLY,Healthcare,Medical Devices,11.70%,1.04,30.77,7.69,7,"|2|","|3|","|4|",7.97,7.96,7.85,7.81,7.8,7.78,7.77,7.76,7.71,,,,,,,,
,ALTG,Industrials,Rental & Leasing Services,53.20%,0.53,48.02,7.52,"|2|","|3|","|4|",7.71,7.67,7.65,7.63,7.62,7.6,7.59,7.55,,,,,,,,,,
,ERII,Industrials,Pollution & Treatment Controls,45.30%,0.53,34.52,6.85,"|2|",7.49,7.26,7,"|3|","|4|",7.03,7.02,7,6.99,6.98,6.97,6.96,,,,,,,,
,JNCE,Healthcare,Biotechnology,76.50%,0.53,52.82,6.51,6.19,6.73,5.96,6.69,"|2|",5.8,"|3|","|4|",6.78,6.77,,,,,,,,,,,
,CHMA,Healthcare,Biotechnology,79.90%,0.54,26.59,4.51,4.58,5.31,4.49,"|2|",5.51,5.5,5.46,5.45,5.38,5.37,5.35,5.34,5.33,5.32,5.31,5.3,5.28,5.27,5.26,5.25,5.23
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TISI,Industrials,Specialty Business Services,-,0.56,49.96,5.49,"|2|",6.17,5.55,"|3|","|4|",5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.43,5.42,,,,
,NH,Healthcare,Health Information Services,3.50%,0.58,68.05,5.05,"|2|","|3|","|4|",,,,,,,,,,,,,,,,,,
,ENOB,Healthcare,Biotechnology,5.00%,0.57,52.28,4.05,"|2|",4.62,4.2,4.03,4,3.88,3.85,3.75,3.7,3.68,3.67,3.6,3.5,"|3|","|4|",4.16,4.11,4.1,4.08,4.07,4.05
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DLTH,Consumer Cyclical,Apparel Retail,35.60%,0.64,60.44,7.52,"|2|",6.86,"|3|","|4|",7.49,7.48,7.4,7.39,7.38,7.37,7.36,,,,,,,,,,
,OVID,Healthcare,Biotechnology,29.20%,0.76,61.76,7.19,7.21,"|2|","|3|","|4|",7.38,7.36,7.35,7.33,7.23,7.21,7.19,7.18,7.17,7.16,7.15,,,,,,
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSGM,Healthcare,Medical Devices,14.80%,0.94,37.85,7.41,6.5,"|2|",7.02,6.63,6.5,"|3|","|4|",7.31,7.3,7.26,7.24,7.23,7.22,7.21,7.2,7.18,7.17,7.15,,,
