,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Thu Jul 30 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBD,Technology,Software - Application,91.80%,0.52,65.77,7.49,7.55,"|2|","|3|","|4|","|5|",7.52,6.65,,,,,,,,,,,,,,
,EKSO,Healthcare,Medical Instruments & Supplies,22.20%,0.96,54.69,7.36,"|2|","|3|","|4|",7.36,7.47,7.4,"|5|",7.68,7.62,7.6,7.48,7.47,7.46,7.45,7.44,7.43,7.41,7.4,7.39,7.38,7.37
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRPO,Healthcare,Diagnostics & Research,2.00%,0.66,91.85,7.00,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,KIRK,Consumer Cyclical,Specialty Retail,34.60%,0.51,78.59,5.47,"|2|","|3|","|4|","|5|",5.13,,,,,,,,,,,,,,,,
,CYCN,Healthcare,Biotechnology,72.30%,0.54,43.68,4.05,4.46,4.76,"|2|",4.65,4.46,4.38,4.25,4.15,4.12,4.06,3.95,3.6,"|3|","|4|",3.69,3.62,3.6,3.63,3.55,"|5|",3.81
,NBSE,Healthcare,Biotechnology,20.30%,0.63,48.54,7.95,7.99,8,"|2|",8.27,8.25,8,7.99,7.9,7.8,"|3|",6.95,"|4|",7.51,"|5|",7.68,7.63,7.58,7.56,7.54,7.51,7.49
,ALDX,Healthcare,Biotechnology,62.80%,0.61,64.12,6.87,"|2|","|3|","|4|",6.51,"|5|",6.56,6.55,6.54,6.53,6.52,6.51,6.5,6.39,6.37,6.36,6.33,6.32,6.31,6.28,,
,VCNX,Healthcare,Biotechnology,56.30%,0.84,56.63,6.28,"|2|",5.7,5.5,"|3|",5.5,"|4|",6.19,6.3,6.47,6.33,5.89,5.9,6.05,6.6,6.38,6.37,"|5|",6.6,6.38,6.37,6.33
,FLDM,Healthcare,Diagnostics & Research,92.00%,0.53,56.33,5.84,"|2|","|3|","|4|",5.43,5.42,"|5|",5.88,5.66,5.64,5.6,5.59,5.58,5.48,5.45,5.44,5.43,5.42,5.41,5.4,5.39,
,PDSB,Healthcare,Biotechnology,10.80%,0.53,65.38,3.85,4.56,"|2|","|3|","|4|","|5|",3.78,3.76,3.75,3.74,3.73,3.72,3.71,3.7,3.69,3.68,3.67,3.66,3.64,3.63,3.62,3.61
,OSMT,Healthcare,Biotechnology,46.10%,0.58,43.45,5.57,5.37,"|2|",6.5,"|3|",6.5,"|4|","|5|",5.43,5.41,5.4,5.38,5.36,5.27,5.26,5.25,5.24,5.22,5.2,5.19,5.18,5.17
,FPRX,Healthcare,Biotechnology,72.10%,0.61,47.05,5.74,6.25,"|2|",5.2,"|3|",6.4,"|4|",5.35,5.32,5.33,"|5|",5.77,5.73,5.7,5.5,5.49,5.47,5.44,5.42,5.41,5.39,5.38
,CEMI,Healthcare,Diagnostics & Research,43.10%,0.51,50.78,5.36,"|2|",4.5,"|3|",4.93,"|4|",5.23,5.07,"|5|",5.18,5.14,5.13,5.12,5.11,5.1,5.09,5.08,5.07,5.06,5.05,5.04,5.03
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.75,56.67,6.04,5.41,"|2|","|3|","|4|",5.55,5.67,5.65,5.63,5.9,"|5|",5.9,5.89,5.8,5.77,5.76,5.75,5.74,5.73,5.72,5.71,5.7
,SURF,Healthcare,Biotechnology,91.70%,0.58,48.15,5.35,"|2|","|3|","|4|",5.34,5.3,5.32,5.31,5.25,5.17,5.12,5.63,"|5|",5.34,5.32,5.31,5.3,5.28,5.25,5.24,5.21,5.17
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAL,Consumer Cyclical,Footwear & Accessories,98.60%,0.58,41.88,6.58,7.15,"|2|","|3|","|4|",6.85,6.83,6.98,7.08,"|5|",7.06,7.01,7,6.99,6.98,6.97,6.96,6.95,6.88,6.86,6.85,6.84
,CADE,Financial,Banks - Regional,93.50%,0.59,47.59,7.97,7.19,7.75,7.35,"|2|","|3|","|4|",8.02,8.1,8.01,7.99,"|5|",8.11,8.1,8.09,8.06,8.05,8.04,8.03,8.02,8.01,8
,NNVC,Healthcare,Biotechnology,22.40%,0.74,40.46,6.15,5.52,5.62,6.76,"|2|",6.9,6.3,6.2,"|3|","|4|",6.04,6.13,6.14,6,5.99,5.97,6.03,"|5|",6.2,6.18,6.15,6.14
,TEN,Consumer Cyclical,Auto Parts,75.40%,0.53,48.61,7.46,6.8,"|2|",7.56,"|3|","|4|","|5|",7.93,7.92,7.91,7.9,7.89,7.86,7.73,7.72,7.71,7.7,7.68,7.63,7.47,7.46,7.45
,QLGN,Healthcare,Biotechnology,0.20%,0.79,59.00,5.93,5.255,"|2|",6,5,"|3|","|4|",5.08,5.09,5.1,"|5|",5.1,5.09,5.08,5.07,5.06,5.05,5.04,5,4.99,4.98,4.97
,BGFV,Consumer Cyclical,Specialty Retail,41.40%,0.61,71.10,5.66,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,CAPR,Healthcare,Biotechnology,3.50%,1.17,58.94,7.54,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,GNCA,Healthcare,Biotechnology,52.00%,0.58,53.56,3.45,2.95,"|2|",2.7,2.65,2.6,2.55,"|3|","|4|","|5|",3.44,3.4,,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LQDA,Healthcare,Biotechnology,35.60%,0.66,25.98,5.36,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,TALO,Energy,Oil & Gas E&P,-,0.57,33.10,6.98,7.37,"|2|","|3|","|4|",7.02,7.03,7.06,"|5|",7.19,7.12,7.11,7.09,7.08,7.07,7.06,7.05,7.04,7.03,7.02,7.01,7
,SOLY,Healthcare,Medical Devices,9.50%,0.63,32.06,6.70,"|2|","|3|","|4|",7.34,7.36,7.2,7,"|5|",7.4,7.36,7.2,7,6.92,6.9,6.89,6.88,6.87,6.86,6.85,6.84,
,DTIL,Healthcare,Biotechnology,56.10%,0.55,37.73,7.01,"|2|",8,7.88,7.85,"|3|",7.88,"|4|",6.88,"|5|",7.5,7.47,7.28,7.27,7.26,7.25,7.24,7.21,7.2,6.93,,
,TGI,Industrials,Aerospace & Defense,94.50%,0.62,37.74,6.67,7.58,"|2|","|3|","|4|","|5|",7.13,7.12,7.11,7.1,7.08,6.92,6.89,6.88,6.87,6.86,6.84,6.83,6.78,6.75,6.73,6.71
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MNOV,Healthcare,Biotechnology,22.20%,1.01,52.01,6.54,"|2|",6.09,6,5.78,5.7,5.65,5.62,5.6,5.55,"|3|","|4|",6.53,"|5|",6.71,6.68,6.67,6.64,6.62,6.61,,
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.66,48.78,5.11,"|2|",4.97,4.88,4.19,"|3|",4.97,"|4|",4.96,4.94,5,5.21,5.04,5.11,"|5|",5.24,5.21,5.11,5.08,5.05,5.04,5.03
,HOFV,Communication Services,Entertainment,20.30%,0.91,39.55,5.30,"|2|","|3|","|4|",5.68,5.62,5.6,5.52,5.54,5.58,5.59,5.49,5.4,5.35,5.34,5.33,5.38,"|5|",5.6,5.59,5.58,5.56
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFRX,Healthcare,Biotechnology,35.10%,0.52,44.12,5.74,4.83,"|2|",6.5,6,5.65,"|3|","|4|",5.57,5.6,"|5|",5.87,5.77,5.76,5.66,5.61,5.6,5.59,5.58,5.57,5.56,5.53
,MGTA,Healthcare,Biotechnology,62.20%,0.53,35.49,7.13,7.39,"|2|","|3|","|4|",7.3,7.25,7.24,7.13,7.08,"|5|",7.25,7.24,7.23,7.2,7.15,7.14,7.13,7.12,7.11,7.1,7.09
,AGLE,Healthcare,Biotechnology,60.20%,0.54,32.01,6.97,6.99,"|2|",7.85,7.1,"|3|",7.85,"|4|",7.04,6.95,6.9,6.94,6.93,6.89,7.02,"|5|",7.05,7.04,7.03,7.02,7.01,7
,LLNW,Technology,Software - Infrastructure,81.40%,0.51,44.91,6.28,"|2|",5.55,5.37,5.3,"|3|","|4|",6.41,6.42,6.4,6.25,"|5|",6.49,6.48,6.47,6.46,6.45,6.44,6.43,6.42,6.41,6.4
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OVID,Healthcare,Biotechnology,30.00%,0.52,45.72,6.60,7.53,"|2|","|3|","|4|",6.59,"|5|",6.58,6.57,6.56,6.55,6.54,6.53,6.52,6.49,6.48,6.34,6.33,6.32,6.31,6.3,6.29
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBI,Consumer Cyclical,Apparel Retail,-,0.50,49.69,6.31,5.91,5.78,5.53,"|2|",6.71,6.13,6,"|3|","|4|",6.22,"|5|",6.59,6.57,6.56,6.54,6.53,6.42,6.4,6.39,6.38,6.37
