,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Tue Aug 11 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCS,Healthcare,Biotechnology,7.90%,0.52,62.20,4.17,"|2|","|3|","|4|",4.27,4.11,3.85,3.97,3.96,"|5|",4.27,4.09,4.01,3.85,,,,,,,,
,ALDX,Healthcare,Biotechnology,62.80%,0.66,54.37,6.61,"|2|","|3|","|4|",7.1,"|5|",7.19,7.14,7.11,7.07,6.99,6.98,6.94,6.92,6.91,6.9,6.88,6.69,,,,
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARAV,Healthcare,Biotechnology,44.70%,0.70,25.48,5.79,"|2|","|3|","|4|","|5|",6.17,6.09,6.08,6.07,6.06,6.05,6.04,6.03,6.02,6,5.99,5.98,5.97,5.95,5.83,5.74,
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNVC,Healthcare,Biotechnology,22.30%,0.50,41.83,6.04,5.62,6.76,"|2|",6.9,6.3,"|3|","|4|",6.2,6.27,6.3,6.15,6.14,"|5|",6.32,6.3,6.29,6.28,6.27,6.26,6.25,6.24
,HOFV,Communication Services,Entertainment,17.40%,0.79,39.91,5.08,"|2|",5.65,"|3|","|4|",5.45,5.44,5.5,5.28,5.31,5.08,5.11,5.15,"|5|",5.6,5.5,5.48,5.45,5.44,5.3,5.28,5.25
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURF,Healthcare,Biotechnology,86.10%,0.57,58.86,5.93,6.88,"|2|","|3|","|4|",5.97,"|5|",6.07,6.05,6.04,6.03,6.02,6.01,6,5.99,5.98,5.97,5.96,5.95,5.94,5.93,5.92
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.00%,0.81,59.62,6.80,"|2|","|3|","|4|",6.46,6.75,6.62,"|5|",6.65,6.63,6.62,6.6,6.59,6.55,6.54,6.5,6.49,6.46,6.45,6.43,,
