,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Tue Aug 04 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.70,63.84,6.42,6.2,"|2|","|3|","|4|",5.63,6.36,"|5|",6.33,,,,,,,,,,,,,
,TGI,Industrials,Aerospace & Defense,94.60%,0.60,35.47,6.77,7.58,"|2|","|3|","|4|",6.73,6.75,"|5|",6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.76,6.75,6.74,6.73,6.72
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRPO,Healthcare,Diagnostics & Research,1.90%,0.98,60.85,3.97,"|2|","|3|","|4|","|5|",4.04,3.2,3.19,3.18,3.17,3.16,3.14,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.83,65.59,7.22,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,ZVO,Consumer Defensive,Education & Training Services,66.90%,0.50,79.53,6.09,"|2|","|3|","|4|",6.25,"|5|",,,,,,,,,,,,,,,,
,CRDF,Healthcare,Biotechnology,21.50%,0.51,74.93,6.21,5.75,"|2|","|3|","|4|",6.17,"|5|",6.2,6.19,6.18,6.17,6.16,5.6,5.4,,,,,,,,
,RUTH,Consumer Cyclical,Restaurants,63.70%,0.58,47.01,7.34,"|2|","|3|","|4|",6.91,6.71,"|5|",6.78,6.75,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,,,,,
,PDSB,Healthcare,Biotechnology,10.80%,0.57,70.87,4.67,4.56,"|2|","|3|","|4|",3.75,3.7,3.84,"|5|",4.75,4.6,3.85,3.84,3.8,3.79,3.77,3.75,3.74,3.7,3.69,,
,SURF,Healthcare,Biotechnology,91.90%,0.60,53.42,5.63,"|2|","|3|","|4|",5.12,5.39,5.24,5.67,"|5|",5.66,5.59,5.39,5.34,5.27,5.26,5.25,5.24,5.22,5.13,5.12,,
,TALO,Energy,Oil & Gas E&P,-,0.55,37.48,7.52,8.41,7.37,"|2|","|3|","|4|","|5|",7.56,7.16,7.15,7.14,7.12,7.11,7.1,7.07,7,6.7,6.69,6.68,6.67,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MNOV,Healthcare,Biotechnology,22.00%,0.90,50.61,6.26,"|2|",6,5.78,5.7,5.65,5.62,5.6,5.55,5.53,5.5,5.48,5.47,5.46,5.45,5.42,5.41,5.33,5.32,"|3|","|4|","|5|"
