,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Mon Jul 27 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PFSW,Industrials,Specialty Business Services,45.40%,0.51,67.90,7.71,8.09,"|2|",7.05,"|3|",7.05,"|4|",6.99,6.98,"|5|",6.93,6.86,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.73,
,PDSB,Healthcare,Biotechnology,10.80%,0.51,68.03,3.89,"|2|","|3|","|4|",3.82,3.69,"|5|",3.9,3.89,3.88,3.87,3.84,3.83,3.82,3.81,3.8,3.79,3.75,3.74,3.7,3.69,3.68
,DTIL,Healthcare,Biotechnology,56.10%,0.55,48.04,7.86,8.1,"|2|",8.6,8.3,8.25,8.05,8,7.88,7.85,"|3|",7.88,"|4|",8.33,8.19,"|5|",7.85,7.83,7.79,7.73,7.71,7.52
,CYCN,Healthcare,Biotechnology,72.30%,0.54,35.62,3.65,4.46,"|2|",4.65,4.46,4.38,4.25,4.18,4.15,4.12,4.06,3.95,3.6,2.8,"|3|","|4|",3.71,3.68,3.5,"|5|",3.86,3.85
,FLDM,Healthcare,Diagnostics & Research,92.00%,0.52,57.63,5.88,"|2|","|3|","|4|","|5|",6.08,5.84,5.83,5.81,5.8,5.79,5.78,5.74,5.73,5.72,5.71,5.7,5.69,5.68,,,
,HOFV,Communication Services,Entertainment,20.30%,1.04,41.90,5.72,"|2|","|3|","|4|",5.74,5.73,5.7,5.5,5.45,5.44,5.68,5.84,"|5|",5.84,5.8,5.75,5.74,5.73,5.7,5.5,5.45,5.44
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.10%,0.79,51.00,5.56,5.41,"|2|","|3|","|4|",6.05,5.83,5.9,5.89,5.87,5.53,"|5|",5.9,5.89,5.87,5.86,5.85,5.82,5.8,5.76,5.73,5.55
,DBI,Consumer Cyclical,Apparel Retail,-,0.55,45.69,6.00,5.91,5.78,5.53,"|2|",6.71,6.13,5.25,"|3|","|4|",6.53,"|5|",6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.58,6.57,6.56
,CAL,Consumer Cyclical,Footwear & Accessories,98.60%,0.64,43.49,6.83,7.15,"|2|","|3|","|4|","|5|",7.74,7.72,7.7,7.69,7.68,7.67,7.61,7.57,6.79,6.66,,,,,,
,VCNX,Healthcare,Biotechnology,56.30%,0.81,60.16,6.49,"|2|",5.7,5.5,"|3|",5.5,"|4|",7.2,7.11,7.14,6.24,"|5|",7.2,7.18,7.14,7.13,7.12,7.11,7.1,6.25,,
,TALO,Energy,Oil & Gas E&P,-,0.70,33.95,7.08,7.37,"|2|","|3|","|4|",8.02,"|5|",8.02,8,7.99,7.98,7.97,7.93,7.84,7.76,7.73,7.71,7.21,7.19,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH,Healthcare,Health Information Services,19.60%,0.51,47.62,4.24,3.26,"|2|",4.8,"|3|","|4|",4.26,4.15,4.18,4.17,4.21,4.19,"|5|",4.33,4.28,4.27,4.26,4.25,4.24,4.23,4.22,4.21
,LLNW,Technology,Software - Infrastructure,81.40%,0.57,46.16,6.40,"|2|",5.55,"|3|","|4|",6.37,"|5|",6.38,6.37,6.36,6.35,6.34,6.33,6.32,6.31,6.3,6.29,6.28,6.27,6.25,6.24,6.23
,OSMT,Healthcare,Biotechnology,46.10%,0.64,39.94,5.35,5.37,"|2|",5.58,"|3|","|4|",5.62,5.48,5.42,"|5|",5.9,5.89,5.62,5.54,5.53,5.52,5.51,5.49,5.48,5.45,5.44,5.42
,LQDA,Healthcare,Biotechnology,35.60%,0.76,25.99,5.38,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,FPRX,Healthcare,Biotechnology,72.10%,0.64,42.19,5.38,6.25,"|2|",5.2,"|3|","|4|",6.14,5.89,5.77,5.45,5.44,"|5|",6.16,6.09,5.9,5.87,5.77,5.75,5.72,5.7,5.67,5.45
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLGN,Healthcare,Biotechnology,0.20%,0.57,55.42,5.36,4.4175,5.255,4.9,"|2|",6,5.1,5,"|3|","|4|",5.17,"|5|",5.65,5.55,5.3,5.28,5.05,4.95,,,,
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLNK,Consumer Cyclical,Specialty Retail,6.10%,0.96,63.54,7.06,"|2|","|3|","|4|",7.05,"|5|",7.2,7.12,7.1,7.09,7.07,7.05,7.04,7.03,7.02,7,6.99,6.98,6.93,6.9,6.84,6.82
,CEMI,Healthcare,Diagnostics & Research,43.10%,0.74,51.35,5.30,"|2|",4.5,"|3|",4.93,"|4|",5.07,5.05,"|5|",5.3,5.29,5.28,5.27,5.26,5.25,5.24,5.23,5.22,5.21,5.2,5.19,5.18
,EKSO,Healthcare,Medical Instruments & Supplies,22.20%,0.96,54.00,7.16,"|2|","|3|","|4|",7.47,7.44,7.37,7.14,7.3,"|5|",7.52,7.5,7.49,7.47,7.44,7.41,7.39,7.38,7.37,7.36,7.3,7.29
,ALDX,Healthcare,Biotechnology,62.80%,0.57,66.50,6.77,"|2|","|3|","|4|",6.52,"|5|",6.58,6.57,6.54,6.53,6.52,6.5,6.49,6.48,6.47,6.46,6.44,,,,,
,CRVS,Healthcare,Biotechnology,75.10%,0.51,52.73,4.15,"|2|",4.72,4.05,3.6,3.48,3.45,3.2,"|3|",4.72,3.48,"|4|",4.29,"|5|",4.65,4.63,4.62,4.4,4.38,4.33,4.32,4.29
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLY,Healthcare,Medical Devices,9.50%,0.69,39.90,7.59,"|2|",8.15,8.1,"|3|","|4|",7.58,7.47,7.41,7.39,7.49,7.54,7.4,"|5|",7.75,7.7,7.68,7.58,7.55,7.54,7.51,7.5
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDYN,Technology,Information Technology Services,48.40%,0.55,39.92,6.52,6.38,"|2|",7.1,"|3|","|4|",6.81,6.8,6.77,6.76,6.72,6.65,6.69,6.57,6.46,6.47,6.5,"|5|",6.77,6.76,6.65,6.61
,PFNX,Healthcare,Biotechnology,89.30%,0.53,44.34,7.60,7.44,"|2|","|3|","|4|",8.17,"|5|",8.1,8.09,8,7.87,7.66,7.59,7.58,7.52,7.49,7.47,7.44,,,,
,NBSE,Healthcare,Biotechnology,20.30%,0.65,38.98,7.46,7.99,8,"|2|",8.27,8.25,8,7.99,7.9,7.8,6.9,"|3|",6.95,"|4|",7.99,7.87,7.9,7.55,"|5|",8.05,7.87,7.55
,MGTA,Healthcare,Biotechnology,62.20%,0.57,38.66,7.47,7.39,"|2|",8.3,"|3|",8.3,"|4|",7.52,"|5|",7.8,7.7,7.69,7.67,7.65,7.64,7.63,7.62,7.61,7.6,7.59,7.58,7.57
,TGI,Industrials,Aerospace & Defense,94.50%,0.71,40.80,7.24,7.58,"|2|","|3|","|4|",7.88,"|5|",7.75,7.73,7.7,7.64,7.47,7.45,7.43,7.25,7.24,7.23,7.22,7.21,7.2,,
,RTLR,Energy,Oil & Gas Midstream,-,0.58,38.71,7.75,7.6,"|2|","|3|","|4|",8,7.89,7.97,7.87,"|5|",8.21,8.19,8.17,8.16,8.15,8.13,8.11,8,7.97,7.89,7.87,7.86
,CFRX,Healthcare,Biotechnology,35.10%,0.56,42.38,5.79,4.83,"|2|",6.5,6,"|3|",6.75,"|4|",6.49,6.09,"|5|",6.49,6.12,6.11,6.1,6.09,6.08,6.04,5.82,5.78,5.74,
