,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Thu Jul 16 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CYCN,Healthcare,Biotechnology,72.30%,0.60,46.44,4.97,4.46,4.76,"|2|",4.65,4.38,4.25,4.18,4.15,4.12,4.06,"|3|","|4|",4.99,4.68,5,"|5|",5.28,5.03,5.02,5.01,5
,JNCE,Healthcare,Biotechnology,76.70%,0.51,38.71,5.28,5.3,5.99,"|2|",6,5.9,5.8,5.25,5.1,4.35,"|3|",5.8,"|4|",5.3,5.1,5.4,"|5|",5.4,5.39,5.38,5.37,5.36
,MGTA,Healthcare,Biotechnology,59.60%,0.74,38.80,7.60,"|2|","|3|","|4|",7.62,7.6,7.55,"|5|",8.13,7.74,7.72,7.71,7.7,7.65,7.63,7.62,7.61,7.6,7.59,7.58,7.56,7.55
,XAIR,Healthcare,Medical Devices,10.80%,0.57,32.50,5.87,"|2|",6,"|3|","|4|",6.55,6.54,"|5|",6.59,6.55,6.54,6.22,6.16,6.07,6.04,5.93,5.92,5.91,5.9,,,
,LQDA,Healthcare,Biotechnology,35.30%,0.89,35.52,6.60,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,GRTS,Healthcare,Biotechnology,79.70%,0.69,30.58,3.88,"|2|","|3|","|4|",4,4.03,3.87,3.86,"|5|",4.07,4.06,4.05,4.04,4.03,4.02,3.89,3.88,3.87,3.86,3.85,3.84,3.83
,MCRB,Healthcare,Biotechnology,82.10%,0.55,47.33,4.59,4.1,4.16,"|2|",4.9,4.66,3.99,3.85,3.73,"|3|","|4|",4.31,"|5|",4.58,4.55,4.51,4.47,4.45,4.44,4.42,4.41,4.31
,NH,Healthcare,Health Information Services,19.60%,0.63,56.99,4.81,"|2|","|3|","|4|",5.02,4.79,"|5|",5.05,5.03,5.02,4.99,4.97,4.95,4.87,4.84,4.82,4.81,4.8,4.79,4.78,4.76,4.75
