,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Mon Aug 10 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARR,Energy,Oil & Gas Refining & Marketing,92.60%,0.54,40.30,7.76,"|2|","|3|","|4|","|5|",7.74,7.73,7.71,7.62,7.61,7.5,7.49,7.47,7.43,7.41,7.4,7.39,7.36,7.35,7.25,,
,HOFV,Communication Services,Entertainment,17.40%,0.83,44.38,5.67,"|2|",5.65,"|3|","|4|",5.3,5.33,5.35,5.54,5.67,5.45,5.44,5.5,"|5|",5.68,5.67,5.6,5.54,5.5,5.48,5.45,5.44
todayPlus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGFV,Consumer Cyclical,Specialty Retail,41.30%,0.73,80.94,7.81,6.93,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,
,FLDM,Healthcare,Diagnostics & Research,85.80%,0.78,66.93,7.61,"|2|","|3|","|4|",6.86,"|5|",7.62,7.61,7.6,7.57,7.53,7.52,7.51,7.5,7.49,7.48,7.37,7.07,7.05,6.86,,
,DBI,Consumer Cyclical,Apparel Retail,-,0.51,55.25,7.01,"|2|",6.71,6.37,6.33,6.13,"|3|","|4|","|5|",6.49,6.48,6.47,6.45,6.43,6.42,6.28,6.27,6.26,6.25,6.24,6.23,6.22
,ARAV,Healthcare,Biotechnology,44.70%,0.72,26.37,6.03,"|2|","|3|","|4|","|5|",6.06,6.03,6,5.99,5.98,5.97,5.95,5.94,5.92,5.91,5.9,5.89,5.85,5.6,5.58,,
,CRDF,Healthcare,Biotechnology,21.40%,0.55,69.45,6.11,5.75,"|2|","|3|","|4|",5.61,5.99,5.98,"|5|",6.09,6.07,6.05,6.04,6.03,6.01,6,5.99,5.98,5.96,5.95,5.89,5.62
,CAL,Consumer Cyclical,Footwear & Accessories,99.20%,0.55,44.05,6.62,7.15,"|2|","|3|","|4|",6.59,"|5|",6.68,6.61,6.57,6.55,6.54,6.37,6.25,6.23,6.21,6.2,6.19,,,,
,FUV,Consumer Cyclical,Recreational Vehicles,1.00%,0.81,57.83,6.67,"|2|","|3|","|4|",6.37,6.26,6.19,6.46,"|5|",6.6,6.59,6.57,6.56,6.55,6.54,6.53,6.52,6.51,6.46,6.45,6.43,6.4
,ALDX,Healthcare,Biotechnology,62.80%,0.65,60.42,7.13,"|2|","|3|","|4|",7.1,"|5|",7.43,7.19,7.12,7.11,7.07,6.66,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLUU,Communication Services,Electronic Gaming & Multimedia,68.30%,0.55,30.71,7.59,"|2|","|3|","|4|",7.95,"|5|",8.49,8.46,8.17,8.08,8.05,8.04,7.8,,,,,,,,,
,AVCT,Financial,Shell Companies,20.80%,0.97,79.89,7.84,"|2|","|3|","|4|","|5|",,,,,,,,,,,,,,,,,
,VCNX,Healthcare,Biotechnology,56.30%,0.79,50.90,5.97,5.66,"|2|",5.7,5.5,"|3|",5.5,5.25,"|4|",6.78,6.86,6.82,6.85,6.77,6.5,6.25,6.2,"|5|",6.86,6.85,6.82,6.8
,ARLO,Industrials,Security & Protection Services,75.70%,0.56,73.55,5.87,"|2|","|3|","|4|",5.07,5.06,"|5|",6.25,5.87,5.74,5.08,5.07,5.06,5.04,5.03,,,,,,,
,FPRX,Healthcare,Biotechnology,72.50%,0.52,48.01,5.62,6.25,"|2|",6.4,"|3|",6.4,"|4|",5.92,5.96,6.03,6.1,6.09,6.11,5.46,"|5|",6.11,6.1,6.09,6.03,6.02,6.01,6
,PRPO,Healthcare,Diagnostics & Research,1.90%,0.87,55.48,3.16,"|2|","|3|","|4|",3.36,"|5|",3.8,3.79,3.78,3.77,3.74,3.73,3.72,3.71,3.48,3.46,3.44,3.43,3.3,3.23,3.18,3.17
,CAPR,Healthcare,Biotechnology,3.50%,1.16,48.36,6.53,"|2|","|3|","|4|","|5|",6.53,,,,,,,,,,,,,,,,
,MRAM,Technology,Semiconductors,55.00%,0.63,36.39,6.35,6.25,"|2|","|3|","|4|","|5|",6.17,,,,,,,,,,,,,,,
weekMinus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSGM,Healthcare,Medical Devices,13.50%,0.69,39.64,7.43,6.77,"|2|","|3|","|4|",7.87,"|5|",7.92,7.9,7.87,7.81,7.51,7.3,7.26,7.24,,,,,,,
weekPlus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPTN,Healthcare,Drug Manufacturers - Specialty & Generic,-,0.68,64.29,6.63,6.2,"|2|","|3|","|4|",6.06,6.08,6.33,6.32,6.5,6.74,"|5|",6.74,6.65,6.63,6.33,6.31,6.27,6.13,6.12,6.11,6.1
,TGI,Industrials,Aerospace & Defense,92.00%,0.60,45.13,7.46,7.58,"|2|","|3|","|4|","|5|",7.34,7.31,7.3,7.28,7.27,7.26,7.25,7.24,7.23,7.22,7.21,7.2,7.19,7.18,7.17,7.16
,SURF,Healthcare,Biotechnology,86.10%,0.59,59.12,6.00,6.88,"|2|","|3|","|4|",5.78,5.75,"|5|",6.01,5.99,5.94,5.88,5.84,5.83,5.82,5.8,5.79,5.78,5.77,5.75,5.73,5.72
,ZVO,Consumer Defensive,Education & Training Services,66.60%,0.58,75.11,6.41,"|2|","|3|","|4|","|5|",6.44,6.43,6.42,6.4,6.39,6.37,6.36,6.34,6.33,6.31,6.19,,,,,,
,EVRI,Consumer Cyclical,Gambling,91.40%,0.50,62.45,6.94,"|2|","|3|","|4|",6.92,6.99,"|5|",6.99,6.98,6.97,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.83,6.44
monthPlus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PDSB,Healthcare,Biotechnology,10.60%,0.54,58.59,3.92,4.56,"|2|","|3|","|4|",4.71,4.38,4.06,4.01,"|5|",4.71,4.4,4.06,4.01,4,3.99,3.98,3.97,3.96,3.95,3.91,3.9
,QLGN,Healthcare,Biotechnology,0.20%,0.70,53.34,5.56,5.255,4.9,"|2|",5,"|3|","|4|","|5|",5.95,5.92,5.9,5.84,5.75,5.74,5.73,5.72,5.71,5.69,5.68,5.67,5.65,5.6
monthMinus30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days20_5AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKSO,Healthcare,Medical Instruments & Supplies,22.70%,0.67,45.21,6.26,5.36,"|2|","|3|","|4|",6.57,6.47,6.3,6.32,6.45,6.44,6.49,6.43,6.39,"|5|",6.57,6.53,6.51,6.49,6.48,6.47,6.46
days20_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TALO,Energy,Oil & Gas E&P,-,0.54,39.01,7.44,8.41,7.37,6.64,"|2|",7.25,"|3|","|4|",7.05,"|5|",7.6,7.59,7.58,7.57,7.4,7.21,7.2,7.18,7.17,7.16,7.15,7.14
