,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,,,,,,,,,,,
Wed Aug 05 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_5BelowHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks52_AboveLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARR,Energy,Oil & Gas Refining & Marketing,91.80%,0.51,32.79,7.41,"|2|","|3|","|4|","|5|",7.74,7.59,7.52,7.5,7.49,7.41,7.34,7.28,7.27,7.25,7.2,,,,,,
horizontal_S/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAL,Consumer Cyclical,Footwear & Accessories,98.50%,0.54,39.57,6.58,7.15,"|2|",6.75,"|3|","|4|",6.22,"|5|",6.61,6.59,6.57,6.54,6.25,6.24,6.23,6.22,6.17,6.16,6.15,6.14,6.13,6.12
,NNVC,Healthcare,Biotechnology,22.40%,0.66,44.86,6.29,5.62,6.76,"|2|",6.9,6.3,6.2,"|3|","|4|",6.49,6.26,6.27,6.25,6.31,6.3,"|5|",6.49,6.35,6.33,6.32,6.31,6.3
,NBSE,Healthcare,Biotechnology,20.60%,0.58,50.37,7.91,7.99,8,7.13,"|2|",8.27,8.25,8.08,8,7.99,7.9,7.8,7.75,"|3|",6.95,"|4|",7.64,7.78,7.86,7.83,"|5|",7.91
,CURO,Financial,Credit Services,35.00%,0.52,46.57,7.61,6.91,7.55,"|2|",8,7.62,"|3|","|4|",7.68,"|5|",7.69,7.68,7.67,7.65,7.64,7.63,7.36,,,,,
,BSGM,Healthcare,Medical Devices,13.40%,0.72,43.33,7.99,8.5,"|2|","|3|","|4|",7.87,"|5|",7.87,7.83,7.81,,,,,,,,,,,,
